row_index,id,user_id,trial_index,valence,arousal,centroid_x,centroid_y,inner_radius,outer_radius,radius_std,roundness,bbox_w,bbox_h,bbox_area,aspect_ratio,eccentricity,closure_dist,closure_ratio,linearity,path_length,area,circularity,n_points,duration,mean_speed,median_speed,max_speed,min_speed,speed_std,speed_cv,speed_skew,speed_kurtosis,accel_mean,accel_std,jerk_mean,jerk_std,early_speed_mean,late_speed_mean,early_late_speed_ratio,curvature_mean,curvature_std,curvature_abs_mean,direction_change_count,stroke_count,pause_count
0,1,qB1wVSec,4.0,2.0,-5.0,280.766303402254,377.81192034140406,14.172070992695238,38.908539391511184,7.499977764652124,0.3642406323735506,35.55552164713538,60.0,2133.3312988281227,0.5925920274522564,0.8142863024029865,9.42809041582062,0.2423141696724185,0.580463467485833,161.0046483544042,1569.1343707814813,0.7606645380418606,116,958.333333334449,0.168004850456574,0.0,1.257865013600509,0.0,0.314399163481042,1.871369562406224,2.080689258557614,6.473080679045287,0.0,0.5063341475930276,-4.7159916090272136e-17,1.0032908089688612,1.24103750655015,0.17777913411437787,6.980743448824869,0.0,0.0,0.0,0,1,0
1,2,0q53JGdD,1.0,3.0,9.0,394.21101068433427,87.16474214687419,72.27055826161636,109.71220874517248,12.551537334742038,0.6587284960188753,178.97074381510413,181.1175028483073,32414.7342026958,0.9881471475730251,0.48373584151562793,8.420101640290225,0.07674717095384996,0.9840323185914481,583.7557727533136,25728.511581409723,0.9487726347999228,633,5266.666666663601,0.11083970368740255,0.0,1.0903041314483732,0.0,0.14917405936768216,1.3458540072282463,1.6442318599466588,7.321213548567371,-3.8091354249230344e-05,0.2601393482463341,3.815181671629136e-05,0.5147890931845525,0.22951972507196275,0.12474429733057199,1.8399068340327178,0.07135853750993096,0.055132666520773616,0.07135853750993096,0,1,0
2,3,dRaKMNue,3.0,-7.0,-3.0,160.95992572074576,394.932404905607,9.39581552813903,29.85880826576901,6.343115875223144,0.3146748337880136,46.95829664815753,39.68311128947181,1863.4513118528662,1.183332030233624,0.6989428808130106,6.09760624230338,0.20421465545541714,0.8396253594452354,135.69848395354055,1368.7187507776543,0.9340585272797515,223,1849.9999999989232,0.07335053186682136,0.0,0.4627793349419708,0.0,0.10618427961787204,1.447627943730049,1.3604317390582377,4.108909120160107,-1.0047267191177888e-18,0.18292493308455723,-0.0005102174454323905,0.3617683301263971,0.10402229889508037,0.10806814301225708,0.9625531950714394,0.0,0.0,0.0,0,1,0
3,4,r6lWhBBq,5.0,2.0,-7.0,362.0453681675255,498.87874706078935,13.324407566909287,30.811961909481465,5.827096095112583,0.4324426859300088,44.000040690104186,48.00003051757818,2112.0032958996826,0.9166669315760299,0.621204413579532,1.3333638509114394,0.04327422754930566,0.8314921006662048,157.5130366445208,1633.7790866419673,0.8275041645811044,235,1950.00000000227,0.08077591622786535,0.0,0.5768827871018151,0.0,0.12868155247933724,1.5930683115538073,1.4436357980679249,4.181974065793536,-9.529811370173017e-19,0.21532655305085377,-5.742532885992189e-18,0.41448410021879467,0.325997559990772,0.17893561800257757,1.8218605203887113,0.0,0.0,0.0,0,1,0
4,5,0q53JGdD,2.0,3.0,-4.0,408.9967288533364,428.3617015020085,57.520157922452555,93.15726648658755,12.343939772742209,0.6174521869502698,153.62030029296875,152.14619954427087,23372.744862424835,1.0096887122590856,0.5238080835988279,24.2787870399384,0.260621505499348,0.8550344200196098,519.1856696914824,19117.835847750306,0.8912575025933033,494,4108.333333338116,0.1263737938395646,0.0,0.7178503760789667,0.0,0.17307973824096395,1.3695856789794092,1.1602066858918052,3.202544615625192,2.7078610356711136e-18,0.2996792749731475,-0.00018926644220526402,0.5928281300900484,0.2902734290879607,0.18829883675160042,1.541549021473029,0.07847355934622914,0.055732239996633445,0.07847355934622914,0,1,0
5,6,qB1wVSec,5.0,-3.0,0.0,256.86229365532387,341.5976317499725,13.703375022659094,27.068591744407016,4.349764508704559,0.5062463223817516,30.00000000000003,40.0,1200.0000000000011,0.7500000000000007,0.8263793556836552,14.444478352864621,0.533625040018906,0.692542087799093,141.42464821689902,1101.2348693087697,0.691894063126216,213,1766.6666666625533,0.08005168767012923,0.0,0.9333312988302958,0.0,0.15502260993101266,1.9365314391598811,2.2208607188897607,8.38023572628479,0.0,0.24732387280391419,-0.0012698800223243873,0.4850274209459567,0.4309943700614178,0.3466687011726826,1.2432421079877745,0.0,0.0,0.0,0,1,0
6,7,dRaKMNue,4.0,7.0,-8.0,485.37046432624146,495.34700107270766,11.684828118702287,32.56517026884414,6.0044851176266,0.35881366571208856,31.08512334102892,48.942525964457786,1521.3844562266806,0.6351352474860621,0.9040032957494301,2.7270335679010573,0.08374080483497652,0.5505610834260929,144.58779378926334,1140.598468400538,0.68561354040622,320,2658.333333336428,0.05439039264793544,0.0,0.7487321246895816,0.0,0.1268723661759836,2.332624568408948,2.632222043320368,10.534161485098112,0.0,0.1955240814772354,-6.1289914608644285e-18,0.3720750425737764,0.269845014350774,0.28299709670427753,0.9535223646141763,0.0,0.0,0.0,0,1,0
7,8,r6lWhBBq,6.0,10.0,9.0,548.1424315362914,65.11251987555089,11.644614067632768,40.530233563854665,8.543651265137806,0.2873068582071427,54.66664632161462,49.33329264322917,2696.8856608081214,1.1081086096757304,0.7889030526862694,5.962870686459243,0.1471215475989016,0.8940201807947549,181.92732403720453,2015.1102091474459,0.7650904908321197,234,1941.6666666621459,0.09369647589920761,0.0,0.5768929439479142,0.0,0.14901234794766166,1.5903730264941784,1.3530559301212706,3.561081523300155,0.0,0.24946847459555344,-3.844928223810066e-18,0.48787615866986145,0.3527764331886489,0.1600010463173382,2.2048245088626794,0.0,0.0,0.0,0,1,0
8,9,qB1wVSec,6.0,5.0,9.0,348.78236605152154,283.9395577069287,82.08042384648252,160.63954717165973,25.856384316113047,0.5109602541320116,240.0,246.66666666666669,59200.00000000001,0.9729729729729729,0.41952173636027995,34.88953234389232,0.2171914261349934,0.9197944103731951,819.3814630620614,47772.84314661473,0.8941670936962074,146,1208.33333333052,0.6781087970184572,0.13332519531281498,2.8126708088637087,0.0,0.8217353848210187,1.2118046373001887,0.765010356815033,2.1013078005592485,-0.0009258694118945421,1.5118052022742385,-0.002084984506486659,3.0235884224542056,0.5713290898787365,0.5651605504045952,1.0109128787507324,0.0,0.0,0.0,0,1,0
10,11,r6lWhBBq,7.0,-3.0,6.0,252.35444752762965,138.45609723843208,13.808964319873386,30.123916810103804,4.672899574061819,0.45840533974790915,51.999918619791686,38.66663614908853,2010.6619330536992,1.3448265429476065,0.6769294718877228,7.999979654947907,0.26556903955678995,0.9130458401204692,159.92719351675828,1580.44287109375,0.776504601525991,205,1699.9999999960419,0.09407481971595921,0.0,0.4800048828136165,0.0,0.1351139448967191,1.436239211562346,1.117068564206972,2.9604900358955564,3.007993416472099e-18,0.22297463024609337,3.572499831714613e-18,0.4219893331055254,0.313480199018165,0.2285714285719604,1.3714698705205972,0.6292679186648154,0.5096008613949468,0.6292679186648154,5,1,0
11,12,qB1wVSec,7.0,0.0,-3.0,315.30749594890347,470.10691260891656,20.360368692750985,78.45671557511932,19.155972909112435,0.25951084675800257,104.44437662760413,127.77776082356775,13345.66857608863,0.8173908820629455,0.5592259693388688,35.57293678999191,0.4534084371137379,0.886343165973716,423.4409890052488,10185.80148955807,0.7138702465230001,159,1316.666666663601,0.32160075114397574,0.0,2.1540659228588113,0.0,0.45025922149153336,1.4000564982821175,1.2877277609314326,4.055157063257081,5.657187386625002e-18,0.7849974216240337,-3.985415985833895e-17,1.5604565056283402,0.5535686000147105,0.4507996109176824,1.2279677236635198,0.0,0.0,0.0,0,1,0
12,13,0q53JGdD,3.0,3.0,-10.0,372.71804690174463,515.0170547413715,27.77182865012128,77.00744884006167,13.933901724966939,0.3606382118670254,102.30570475260413,107.03155517578125,10949.938683025535,0.9558461949336744,0.4943037082321159,12.767892129037019,0.16580074163416209,0.8993152799552181,362.0390320033207,9308.40747871995,0.8924306148975275,426,3541.6666666707897,0.10222278550670096,0.0,0.6945428092080916,0.0,0.14431073420508128,1.4117276641382597,1.6014997404143212,5.398180404830603,-5.973959868802966e-05,0.24886780017811672,5.988082705370875e-05,0.4935993097274614,0.1865541376965038,0.14297975868418888,1.3047499496667125,0.009750496246241573,0.010296972128684174,0.009750496246241573,0,1,0
13,14,dRaKMNue,5.0,-7.0,8.0,112.85317094026672,65.88844218683403,8.643789944845238,30.118543571771873,6.619781015470526,0.2869922951037544,27.116664708428516,44.31276776363608,1201.6144657489795,0.611937960026974,0.8554760442293413,5.4538882612508015,0.18108074343815123,0.5256981388765942,110.66664894553202,713.4470521968324,0.7320455298865797,314,2608.33333333637,0.04242810822187982,0.0,0.7529360281016112,0.0,0.12091927597392506,2.849980379553383,3.3234472252525986,14.85786480814959,0.0,0.18151721159659429,-1.963416924578251e-18,0.3442606638406725,0.28979760058697657,0.2946105902515591,0.9836598768552453,0.0,0.0,0.0,0,1,0
14,15,qB1wVSec,8.0,-9.0,10.0,277.0664140654773,248.5725889748674,107.09744421130925,218.30215221599647,35.46375942540539,0.49059270888608997,334.4444783528646,287.77776082356775,96245.68310019355,1.1621623484585646,0.6891620785244625,17.77781168619788,0.08143672201915735,0.9499296280682372,1025.0694459924616,76837.65594105609,0.9189193441686851,164,1358.3333333301707,0.7546523528796432,0.0,3.407184425231487,0.0,0.964899768677107,1.2786016832720264,1.0224422726207718,2.938321673227481,-0.0008230703848398841,1.7371436948850467,-0.006829139002637582,3.4705046068034653,1.0434494612089402,0.48811266963427835,2.1377181712422644,0.24498135586280692,0.0,0.24498135586280692,0,1,0
